result_id,event_title,edition,edition_id,sport,sport_url,result_date,result_location,result_participants,result_format,result_detail,,,
128710,"Heavyweight, Greco-Roman (≤100 kilograms), Men",1980 Summer Olympics,20,Wrestling,/editions/20/sports/WRE,21 – 23 July 1980,"Legkoatletichesky manezh, Legkoatletichesky Futbolny Kompleks CSKA, Moskva",9 from 9 countries,"Scoring by negative points, with negative points given for any result short of a fall.  Accumulation of 6 negative points eliminated the wrestler.",na,,,
302038,"Long Jump, Men",2012 Summer Olympics,54,Athletics,/editions/54/sports/ATH,3 –  4 August 2012,"Olympic Stadium, Olympic Park, Stratford, London",42 from 30 countries,na,na,,,
61115,"110 metres Hurdles, Men",1972 Summer Olympics,18,Athletics,/editions/18/sports/ATH,3 –  7 September 1972,"Olympiastadion, Olympiapark, München",39 from 27 countries,na,na,,,
1122,"500 metres, Men",2006 Winter Olympics,49,Speed Skating,/editions/49/sports/SSK,13 February 2006,"Oval Lingotto, Torino",37 from 12 countries,"Two runs, total time determined placement.",na,,,
62056,"High Jump, Women",1976 Summer Olympics,19,Athletics,/editions/19/sports/ATH,26 – 28 July 1976,"Stade olympique, Parc olympique, Montréal, Québec",35 from 23 countries,na,na,,,
58127,"4 x 100 metres Relay, Women",1932 Summer Olympics,10,Athletics,/editions/10/sports/ATH, 7 August 1932 — 15:00,"Los Angeles Memorial Coliseum, Los Angeles, California",24 from 6 countries,Final only.,na,,,
924312,"Moguls, Women",2010 Winter Olympics,57,Freestyle Skiing,/editions/57/sports/FRS,13 February 2010,"Cypress Mountain, West Vancouver",27 from 12 countries,na,Gradient: 28°Length: 250 mStart Elevation: ?Vertical Drop: ?Width: 18 m,,,
5756,"4 x 100 metres Medley Relay, Men",1964 Summer Olympics,16,Swimming,/editions/16/sports/SWM,15 – 16 October 1964,"Kokuritsu Yoyogi Kyogijo, Shibuya, Tokyo",63 from 14 countries,na,na,,,
1056,"1,000 metres, Men",1984 Winter Olympics,42,Speed Skating,/editions/42/sports/SSK,14 February 1984 — 9:15,"Pista za brzo klizanje Zetra, Sarajevo",43 from 20 countries,na,na,,,
905273,"Giant Slalom, LW2, Men",1988 Winter Olympics,43,Alpine Skiing,/editions/43/sports/ALP,19 – 21 February 1988,"Canada Olympic Park, Calgary (Recreational Ski Hill)",13 from 8 countries,na,na,,,
7205,"200 metres Butterfly, Women",1984 Summer Olympics,21,Swimming,/editions/21/sports/SWM, 4 August 1984,"Olympic Swim Stadium, University of Southern California, Los Angeles, California",29 from 18 countries,na,na,,,
925767,"High Jump - AAU Championship, Men",1904 Summer Olympics,3,Athletics,/editions/3/sports/ATH, 4 June 1904,"Francis Field, Washington University, St. Louis",3 from 1 countries,na,na,,,
355220,"Featherweight, Freestyle (≤57 kilograms), Men",2016 Summer Olympics,59,Wrestling,/editions/59/sports/WRE,19 August 2016,"Arena Carioca 2, Parque Olímpico da Barra, Barra da Tijuca, Rio de Janeiro",20 from 20 countries,Single elimination tournament. Competitors losing to the finalists entered repechage tournament for bronze medals.,na,,,
23312,"Flyweight (≤51 kilograms), Men",1964 Summer Olympics,16,Boxing,/editions/16/sports/BOX,12 – 23 October 1964,"Korakuen Horu, Bunkyo, Tokyo",28 from 28 countries,Single elimination tournament.,na,,,
159427,"Eights, Men",1996 Summer Olympics,24,Rowing,/editions/24/sports/ROW,22 – 28 July 1996,"Lake Sidney Lanier, Gainesville, Georgia",90 from 10 countries,na,na,,,
21558,"Welterweight (≤147 pounds), Men",1924 Summer Olympics,8,Boxing,/editions/8/sports/BOX,15 – 20 July 1924,"Vélodrome d'Hiver, Paris",29 from 18 countries,Single elimination tournament.,na,,,
